SceneID,Character,Dialogue,Choice1,NextScene1,Choice2,NextScene2
0,ナレーター,春、桜が舞う中、HARUKI君は新しい学校生活をスタートさせました。,,1,,
1,HARUKI,よし、新しい学校生活だ。頑張るぞ！,教室に向かう,2,校庭を散策する,3
2,クラスメイト,あ、君が新入生のHARUKIくんだね。よろしく！,明るく挨拶する,4,控えめに挨拶する,5
3,ナレーター,HARUKIは校庭で桜の木の下に立ち、新しい学校生活への期待に胸を膨らませました。,教室に戻る,2,,
4,HARUKI,よろしく！これからよろしくお願いします！,クラスメイトと仲良くなる,6,一人で過ごす,7
5,HARUKI,あ、はい。よろしくお願いします。,クラスメイトと仲良くなる,6,一人で過ごす,7
6,ナレーター,HARUKIはクラスメイトと積極的に交流し、多くの友人ができました。,,8,,
7,ナレーター,HARUKIは一人で過ごすことが多く、クラスメイトとの交流が少なくなりました。,,9,,
8,ナレーター,時が経ち、HARUKIは素敵な彼女ができました。二人の関係は順調に進展しています。,エンディングへ,10,,
9,ナレーター,時が経ちましたが、HARUKIは彼女ができずに童貞のまま過ごしています。,エンディングへ,11,,
10,ナレーター,ハッピーエンド：HARUKIは素敵な彼女と幸せな関係を築き、充実した学園生活を送りました。,,,,
11,ナレーター,バッドエンド：HARUKIは彼女ができずに童貞のまま学園生活を終えました。,,,,